datetime,regime
2011-03-11,1
2011-03-14,1
2011-03-15,1
2011-03-16,1
2011-03-17,1
2011-03-21,1
2011-03-22,1
2011-03-25,1
2011-03-31,1
2011-04-01,1
2011-04-05,1
2011-04-06,1
2011-04-08,1
2011-04-11,1
2011-04-13,1
2011-04-14,1
2011-04-15,1
2011-04-18,1
2011-04-19,1
2011-04-20,1
2011-04-21,1
2011-04-26,1
2011-05-02,1
2011-05-16,1
2011-05-17,1
2011-05-19,1
2011-05-31,1
2011-06-01,1
2011-06-02,1
2011-06-13,1
2011-06-16,1
2011-06-17,1
2011-06-20,1
2011-06-21,1
2011-06-22,1
2011-06-23,1
2011-06-24,1
2011-06-28,1
2011-07-01,1
2011-07-05,1
2011-07-06,1
2011-07-07,1
2011-07-08,1
2011-07-12,1
2011-07-13,1
2011-07-14,1
2011-07-15,1
2011-07-18,1
2011-07-19,1
2011-07-20,1
2011-07-21,1
2011-07-22,1
2011-07-25,1
2011-07-26,1
2011-07-27,1
2011-07-28,1
2011-07-29,1
2011-08-02,1
2011-08-03,1
2011-08-04,0
2011-08-08,0
2011-08-09,0
2011-08-10,0
2011-08-11,1
2011-08-12,1
2011-08-15,1
2011-08-16,1
2011-08-17,1
2011-08-18,1
2011-08-19,0
2011-08-22,0
2011-08-23,1
2011-08-24,1
2011-08-25,1
2011-08-26,1
2011-08-29,1
2011-08-30,1
2011-08-31,1
2011-09-01,1
2011-09-02,1
2011-09-06,1
2011-09-07,1
2011-09-08,1
2011-09-09,1
2011-09-12,1
2011-09-14,1
2011-09-15,1
2011-09-16,1
2011-09-19,1
2011-09-20,1
2011-09-22,0
2011-09-23,1
2011-09-26,1
2011-09-27,1
2011-09-28,1
2011-09-29,1
2011-09-30,1
2011-10-03,0
2011-10-04,0
2011-10-05,0
2011-10-06,1
2011-10-07,1
2011-10-10,1
2011-10-11,1
2011-10-12,1
2011-10-13,1
2011-10-14,1
2011-10-17,1
2011-10-18,1
2011-10-19,1
2011-10-20,1
2011-10-21,1
2011-10-24,1
2011-10-25,1
2011-10-31,1
2011-11-01,1
2011-11-02,1
2011-11-03,1
2011-11-04,1
2011-11-08,1
2011-11-10,1
2011-11-11,1
2011-11-14,1
2011-11-15,1
2011-11-18,1
2011-11-21,1
2011-11-22,1
2011-11-23,1
2011-11-28,1
2011-11-30,1
2011-12-01,1
2011-12-02,1
2011-12-05,1
2011-12-06,1
2011-12-07,1
2011-12-09,1
2011-12-13,1
2011-12-14,1
2011-12-16,1
2011-12-20,1
2011-12-21,1
2011-12-23,1
2011-12-30,1
2012-01-03,1
2012-01-04,1
2012-01-05,1
2012-01-06,1
2012-01-09,1
2012-01-10,1
2012-01-11,1
2012-01-18,1
2012-01-19,1
2012-01-20,1
2012-01-24,1
2012-01-25,1
2012-01-27,1
2012-01-30,1
2012-02-01,1
2012-02-02,1
2012-02-03,1
2012-02-06,1
2012-02-07,1
2012-02-09,1
2012-02-10,1
2012-02-15,1
2012-02-16,1
2012-02-22,1
2012-02-23,1
2012-02-24,1
2012-02-28,1
2012-02-29,1
2012-03-01,1
2012-03-13,1
2012-03-14,1
2012-03-15,1
2012-03-19,1
2012-03-20,1
2012-03-21,1
2012-03-22,1
2012-03-23,1
2012-03-26,1
2012-03-28,1
2012-04-09,1
2012-04-10,1
2012-04-12,1
2012-04-13,1
2012-04-16,1
2012-04-17,1
2012-04-19,1
2012-04-23,1
2012-05-02,1
2012-05-16,1
2012-05-17,1
2012-05-18,1
2012-05-21,1
2012-05-22,1
2012-05-23,1
2012-05-25,1
2012-05-29,1
2012-05-31,1
2012-06-05,1
2012-06-12,1
2012-06-14,1
2012-06-19,1
2012-06-20,1
2012-06-21,1
2012-07-05,1
2012-07-10,1
2012-07-11,1
2012-07-19,1
2012-07-20,1
2012-07-23,1
2012-07-24,1
2012-07-27,1
2012-08-02,1
2012-08-10,1
2012-08-14,1
2012-08-15,1
2012-08-21,1
2012-08-27,1
2012-08-28,1
2012-09-04,1
2012-09-05,1
2012-09-06,1
2012-09-13,1
2012-09-14,1
2012-09-18,1
2012-09-24,1
2012-09-25,1
2012-09-26,1
2012-09-27,1
2012-09-28,1
2012-10-02,1
2012-10-03,1
2012-10-10,1
2012-10-15,1
2012-10-16,1
2012-10-17,1
2012-10-19,1
2012-10-22,1
2012-10-23,1
2012-11-09,1
2012-11-16,1
2012-11-26,1
2012-11-29,1
2012-11-30,1
2012-12-11,1
2012-12-12,1
2012-12-13,1
2012-12-17,1
2013-01-04,1
2013-01-17,1
2013-01-18,1
2013-01-22,1
2013-01-23,1
2013-01-24,1
2013-02-01,1
2013-02-04,1
2013-02-08,1
2013-02-15,1
2013-02-20,1
2013-02-21,1
2013-02-26,1
2013-02-28,1
2013-03-04,1
2013-03-05,1
2013-03-06,1
2013-03-12,1
2013-03-13,1
2013-03-18,1
2013-03-22,1
2013-04-04,1
2013-04-05,1
2013-04-08,1
2013-04-18,1
2013-04-19,1
2013-04-22,1
2013-05-08,1
2013-05-09,1
2013-05-16,1
2013-05-23,1
2013-05-24,1
2013-06-03,1
2013-06-24,1
2013-06-25,1
2013-06-26,1
2013-06-27,1
2013-07-18,1
2013-07-19,1
2013-07-22,1
2013-07-23,1
2013-07-24,1
2013-07-25,1
2013-08-19,1
2013-08-27,1
2013-10-08,1
2013-10-09,1
2013-10-16,1
2013-10-17,1
2013-10-18,1
2013-10-21,1
2013-10-23,1
2013-11-26,1
2014-01-07,1
2014-01-09,1
2014-01-24,1
2014-01-27,1
2014-01-28,1
2014-01-30,1
2014-01-31,1
2014-02-03,1
2014-02-04,1
2014-02-07,1
2014-03-17,1
2014-03-24,1
2014-03-27,0
2014-04-03,1
2014-04-04,0
2014-04-07,0
2014-04-08,1
2014-04-09,1
2014-04-10,1
2014-04-11,0
2014-04-14,1
2014-04-15,1
2014-04-16,1
2014-04-17,1
2014-04-25,1
2014-04-28,1
2014-05-07,1
2014-05-08,1
2014-06-19,1
2014-06-24,1
2014-07-17,1
2014-07-18,1
2014-08-01,1
2014-08-13,1
2014-09-12,1
2014-10-02,1
2014-10-08,1
2014-10-10,1
2014-10-14,1
2014-10-15,1
2014-10-16,0
2014-10-17,1
2014-10-20,1
2014-10-22,1
2014-10-31,1
2014-11-17,1
2014-11-21,1
2014-12-02,1
2014-12-05,1
2014-12-09,1
2014-12-16,1
2014-12-18,1
2014-12-22,1
2014-12-23,1
2015-01-13,1
2015-01-15,1
2015-01-23,1
2015-01-29,1
2015-01-30,1
2015-02-02,1
2015-03-24,1
2015-04-17,1
2015-04-23,1
2015-05-06,1
2015-07-14,1
2015-07-16,1
2015-07-17,1
2015-07-20,1
2015-07-21,1
2015-07-24,1
2015-08-11,0
2015-08-19,1
2015-08-21,1
2015-08-24,0
2015-08-25,0
2015-08-26,0
2015-08-27,0
2015-09-22,1
2015-09-28,1
2015-10-06,1
2015-10-07,1
2015-10-20,1
2015-10-23,1
2015-10-26,1
2015-11-04,1
2015-11-13,1
2015-11-16,1
2015-12-07,1
2015-12-11,1
2015-12-14,1
2015-12-16,1
2016-01-04,1
2016-01-07,1
2016-01-12,1
2016-01-13,1
2016-01-14,0
2016-01-15,0
2016-01-19,1
2016-01-20,0
2016-01-22,1
2016-01-28,0
2016-01-29,1
2016-02-01,1
2016-02-02,1
2016-02-03,0
2016-02-04,0
2016-02-05,0
2016-02-08,0
2016-02-09,0
2016-02-10,0
2016-02-11,0
2016-03-01,1
2016-03-17,1
2016-03-30,1
2016-04-21,1
2016-04-22,1
2016-04-28,1
2016-05-03,1
2016-06-16,1
2016-06-17,1
2016-06-24,1
2016-06-27,1
2016-07-28,1
2016-07-29,1
2016-09-06,1
2016-09-09,1
2016-09-13,1
2016-09-22,1
2016-10-28,1
2016-10-31,1
2016-11-03,1
2016-11-09,1
2016-11-10,0
2016-11-11,1
2016-11-14,1
2017-01-23,1
2017-01-26,1
2017-01-30,1
2017-03-21,1
2017-03-23,1
2017-04-27,1
2017-04-28,1
2017-06-12,0
2017-06-27,1
2017-06-29,1
2017-07-24,1
2017-07-25,1
2017-07-31,1
2017-08-02,1
2017-08-10,1
2017-10-26,1
2017-10-27,1
2017-11-01,1
2017-11-29,1
2018-02-01,1
2018-02-02,1
2018-02-05,0
2018-02-06,0
2018-02-08,0
2018-02-09,0
2018-03-09,1
2018-03-19,1
2018-03-26,1
2018-04-02,0
2018-04-23,1
2018-04-24,0
2018-04-25,1
2018-05-31,1
2018-07-12,1
2018-07-24,1
