date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r_LH_lag,r_on,r_FH,r_LH
12/16/10,-0.000804477,-0.002092219,-0.001931279,-0.000965717,0.000483481,0.002343056,-0.000645551,0.000443513,0.000725631,0.000161108,-0.000402706,0.00104788,0.001491935,0.001321888,0.002980986,0.003543814,0.003504955,0.003704002,0.003261263,0.00298642,0.001285244,-0.000160514,0.000602192,0,0.000361185,0.00024077,-0.000481348,-8.03E-05,-8.02E-05,-0.000681909,4.01E-05,0.000210222,0.001525002,0.001685799,0.00216676,0.002287962,0.001684852,0.001233793,0.000400705,0.000392691,-0.000560538,-0.000400481,-0.001041249,-0.000160244,0,0.000488668,0.000721096,4.01E-05,0.000801796,0.000400673,-0.000320436,-0.001201057,-0.001521217,-0.001001562,-0.001682423,-0.001521948,-0.001121885,-0.000481,-0.00080186,-0.000802053,0.000561753,0.000802246,0.000641797,-0.000280719,-0.000481502,0.000561888,-0.00160901,0.001450443,-0.004103637,0.001123145
12/17/10,-0.001128759,-0.000644693,0.000725924,4.03E-05,0.000806517,0.000524088,0.001856486,8.06E-05,-0.001289595,-0.001522965,-0.001369973,-0.00072528,-0.001047374,0.00024109,0.001210556,0.00104107,0.000806972,0.000320968,0.000725865,0.000645708,0.000564243,0.000322477,0.000629737,0.00024347,0.000322373,-0.000563925,-0.000377024,0.000161186,-6.53E-05,0.000241799,0,0.000564243,0.000377166,0.00016116,0.000201467,0.000402901,0.000805672,0.00112785,0.001369532,0.001611344,0.001891794,0.00124849,0.000966028,0.00064376,0.000321802,0.000884813,0.000323282,0.000603355,0.000321699,0.000120627,8.04E-05,-8.04E-05,0.000160785,0.000241196,-0.000160798,-0.000120613,0.000361882,-0.000241119,-0.000241138,-8.04E-05,-8.04E-05,-0.000160836,-0.000602918,-0.000763727,-0.000482393,-0.000965434,0.001123145,-0.005609424,-0.000523813,0.000483586
12/20/10,-0.000561978,-0.001605136,-0.002408478,-0.002889941,-0.002916198,-0.002569662,-0.001686882,-0.001286174,-0.000402382,-2.82E-05,-0.000214947,-0.001127123,-0.001367879,-0.001851256,-0.000483053,-0.00025361,-0.000322087,0.001017168,0.001087745,0.002096605,0.001208216,0.001248238,0.001610954,0.001077328,0.000442674,0.000120705,0.000482703,0.000804311,0.000402091,0.000563018,0.000362027,0.000724142,0.00096494,0.000562565,0.001045016,0.001607717,0.001970325,0.001728643,0.000883676,0.000803213,0.000883321,-0.000120385,0,8.03E-05,0.00024079,8.03E-05,-0.000320924,8.03E-05,0.001163817,0.00176565,0.001925855,0.002165958,0.002006421,0.001717565,0.000280595,-0.000560808,-0.000720807,-0.000960122,-0.000560673,-0.000632967,-0.000561032,-0.000641283,-0.000841548,-0.000801539,-0.001282257,-0.001042251,0.000483586,0.002533376,-0.001002768,-0.000239968
12/21/10,0.000880634,0.000800256,8.00E-05,0.000639898,0.001119821,0.001039834,0.001119821,0.000535743,0.001240298,0.000239009,0,0,-0.000528923,-0.000135862,-0.000203796,-0.000318869,-0.000167785,0.000270076,0.000808993,0.000959156,0.000743408,0.000799424,0.000327636,-0.000270003,-3.99E-05,-0.000399265,-2.00E-05,0.000239636,0.000359482,0.000719137,0.000319514,0.000399425,0.000503235,0.000371346,0.000558994,0.00071862,0.000638825,0.000638825,0.000375241,0.000147685,-0.000279341,-0.000558525,-0.000319208,-0.00031841,-7.98E-05,-0.000279363,0.000247485,0.000239502,0.000239483,7.90E-05,0,0.000210778,-0.000207517,-7.98E-05,-7.98E-05,7.98E-05,-0.00015963,-0.000130911,3.99E-05,7.98E-05,7.98E-05,-0.000199537,-7.98E-05,0.000319336,0.000478965,0.000239444,-0.000239968,0.003610818,8.00E-07,0.000319183
12/22/10,0.000837054,0.000199124,0.000637653,0.000239082,0.000518011,0.000239006,-3.98E-05,-0.000199084,-0.000159312,3.98E-05,0.000199132,0.000637196,0.000716903,0.000557547,0.000637349,0.000596741,0.000199092,-7.96E-05,-7.96E-05,0.000477631,0.000676752,0.000717414,0.00060512,0.000437828,0.000477631,0,0.00014958,0.000397836,0.000946917,0.000954844,0.00111394,0.000765436,0.000287979,7.95E-05,-0.000230543,-0.000186017,-0.000655699,-0.000208306,0,7.95E-05,-0.000405531,-0.000331553,-0.000409583,-0.000636183,-0.00095435,-0.001510934,-0.001223451,-0.001192238,-0.000445555,-0.000397867,-0.00015921,0.00023893,0.000508139,0.000318522,0.000159198,0.00015921,7.96E-05,0.000477745,0.000477631,0.000477631,0.000159172,0.000310411,0.000517475,0.000159172,0.000628581,0.000151178,0.000319183,0.001435865,-0.000159312,0.000644397
12/23/10,0.000875796,0.000238663,-0.000159084,-0.001321775,-0.001351996,-0.001034044,-0.000954578,-0.000874891,-0.000954654,-0.000348799,0.000159274,0,0,-7.96E-05,0.000238892,0.001354258,0.000557369,0.000875866,0.000398121,0.000199029,7.96E-05,-0.000875099,-0.000557059,-0.000795545,-0.000367717,-0.000756159,-0.000716446,-0.000238873,0.000159248,0,0.000208609,0.000557591,7.97E-05,-6.37E-05,-0.000159223,-0.000318471,-0.000358223,-0.000159223,0.000796559,0.000621257,0.000159248,0.00023893,3.98E-05,0,-0.000557147,-0.000557192,-0.000636892,-0.000477745,-0.000159261,-0.000716618,-0.000477821,-0.001194648,-0.001593245,-0.001513582,-0.001353934,-0.000876494,-0.000717074,-7.97E-05,0.000687784,0.000957396,0.000319005,0.00050642,0.000398661,0.000717703,0.000349237,0.000876773,0.000644397,-0.001041501,0.000565066,0.000159274
12/27/10,0.001038701,-0.000320288,0.000798786,0.001758453,0.001957964,0.002036985,0.001757329,0.001918346,0.000718333,0.000478736,-3.99E-05,-0.000637755,-0.000318954,-0.000318979,-7.98E-05,-7.98E-05,0,7.98E-05,0,8.06E-05,0.000235304,-0.000159515,0.000159528,0.000159528,0.000398819,0.000637313,0.000483256,0.000877473,0.000598134,0.000638009,0.000405836,0.000159426,7.89E-05,7.17E-05,-0.000119555,0,-7.17E-06,0.000239101,0.000564278,0.000804916,0.001115982,0.001515103,0.001594007,0.001195219,0.000869837,0.000557414,0.000549407,0.000476683,7.48E-05,7.96E-05,0,-7.96E-05,-0.000151203,-0.000636335,-2.55E-05,7.96E-05,0.000557103,0.00063674,0.000397962,0.000238777,0.000348515,0.000318294,0,0,3.02E-05,0.000318294,0.000159274,-0.003503464,0.000279664,-0.000397741
12/28/10,-0.001033304,-0.000636639,-0.001114029,-0.001073815,-0.000716161,-0.000825644,-0.000875239,0.000477783,0.000796622,3.98E-05,7.96E-05,-0.000527002,0.000238911,-0.000159185,-0.000318395,0.000238873,0.000159248,0.000477897,0,7.96E-05,0,-0.000318421,-0.000159223,-0.000318446,-7.96E-05,-0.000477593,0.000159248,0.000398153,7.96E-05,0.000398184,0.000159248,0.000397388,7.96E-05,-7.96E-05,0.000318471,0.000317625,0.00055728,0.000637638,0.000732367,0.000875657,0.00063674,0.000398695,0.000143221,0.000238663,6.36E-05,-7.95E-05,0,0.000318193,0.000254578,0.000119303,0.000397709,0.000477251,0.000596564,0.000318091,0.000556749,0.00027516,7.95E-05,7.95E-05,0.000214635,0.000608951,0.000397456,0.000639213,0.000636031,0.000398283,0.000302014,0.000146187,-0.000397741,0.001989495,-0.001509014,-0.000675219
12/29/10,0.000198373,0.00039692,0.001159337,0.00071525,0.000849274,0.000595191,0.000159461,0.000158705,7.93E-05,0.000237188,-0.000214121,-0.000594837,-0.000230824,0,-0.000793084,-0.000785153,-0.000396605,0.000158718,-8.73E-05,0,0.000238114,7.14E-05,0,-7.93E-05,7.93E-05,0.000396699,0.000396762,0.000515873,0.000396762,0.000436439,0.000515709,0.000237925,0.000317284,0.000436283,0.000396605,0.00035693,0.000436144,0.000396448,0.000475775,0.000396448,0.000475737,0.000317158,7.93E-05,-0.000182294,-7.93E-05,-0.000156931,-0.000158504,-3.96E-05,0,0.000182327,0.000317058,7.77E-05,-0.000158529,-0.000118901,-0.000118887,-0.000317033,-0.000475436,-0.000158529,-0.000158554,0,0.000277436,0.0004757,0.000277469,0.000388457,0.000445607,7.93E-05,-0.000675219,0.00127186,0.000396951,-0.001743956
12/30/10,-8.98E-05,-0.000953289,-0.003490955,-0.002611716,-0.00238133,-0.001033606,-0.000307634,0.000318066,0.001353503,0.000875239,0.001034373,0.000159854,0.000159033,-0.000317965,-7.95E-05,-0.000635981,-0.001112789,-0.000636132,-0.000675783,-0.000873887,-0.000795165,-0.000540928,-0.000716161,-0.000716104,-0.000477346,-0.000110625,-0.000557059,0.00014406,0.000796305,0.000636993,0.000278585,0.000189436,0.000643363,0.000237943,-0.000159134,-0.000159147,-0.000159147,-0.000318319,-0.000404231,-0.000318243,7.96E-05,-7.96E-05,7.96E-05,0.000557236,0.000318421,0.00012893,0.000159147,0.00063674,0.000397899,0.000159122,0.000557059,0.00058727,0.000556926,0.000480433,0.000715933,0.000795482,0.000636284,0.000318117,7.95E-05,3.66E-05,-0.000238474,-0.00015897,-8.35E-05,7.95E-05,7.95E-05,0.001139246,-0.001743956,-0.001191138,0.000715535,-0.001336475
12/31/10,-0.001592357,-0.000796622,3.98E-05,0.000438562,0.000956938,0.000996492,0.001435407,0.001355338,0.001394533,0.001514367,0.00111536,0.00107514,0.001234273,0.000558121,-3.98E-05,0.00027854,0.000596849,0.000477327,0.000119299,0.000675578,0.000756008,0.000556926,0.000119299,-7.95E-05,0.000318091,0.00011928,0.000198799,0.000397583,0.000477137,0.000874751,0.000397488,0.000278286,-0.000636031,-0.001033304,-0.000794849,-0.001112347,-0.001033058,-0.000357696,0.000795545,0.000954806,0.000755708,0.000715877,0.000719911,0.000715649,-4.93E-05,-0.000476948,-0.000119232,-0.00031794,-0.00048092,-0.000794597,-0.000268694,0.000119294,-0.000238493,-0.00015902,0.000795292,0.000715706,0.000636132,0.000834957,0.000159033,0.000397614,-0.00039733,-0.000158932,-0.000556262,-0.000317813,0.000318016,0.000238474,-0.001336475,-0.001510814,-0.001035279,-0.000238417
1/3/11,0.002216805,0.00236649,0.001181568,0.001573936,0.001456062,0.000550617,0.000944584,0.000864878,0.001237608,0.000314292,0.0009431,0.001572327,0.001749764,0.001573362,0.000807026,0.000392742,0.000471106,0.000274725,0.000444331,0.001177579,0.000706658,0.000706658,0,0.000313886,0.000399406,7.84E-05,0.000392311,0.000549235,0.001020248,3.92E-05,3.92E-05,-0.000548847,0,-0.000313676,-0.000705606,-0.000470662,-0.000588258,-0.000470699,-0.000392157,-0.000627549,-0.00039228,-0.000274682,-0.000313922,-0.000156974,-0.000156924,7.85E-05,7.85E-05,0.000486714,0.000628042,0.000339116,-0.000549321,-0.000156974,-7.85E-05,-0.001311133,-0.001726032,-0.001437616,-0.000549623,-0.000667242,-0.000784868,7.94E-05,-0.000470764,-0.000628684,-0.001217692,-0.001552178,-0.001963711,-0.001728337,-0.000238417,0.007313196,0.00323548,-0.000157394
1/4/11,-0.002201258,-0.002280233,-0.000803276,-0.000803466,0.000394011,0.000197037,-0.000512134,0,-6.38E-05,-0.000535286,-0.001496652,-0.001457783,-0.001143037,-0.002521869,-0.001654451,-0.000474049,-0.000157778,-0.000473485,0.000155473,0.001659161,0.000868467,-0.000157828,-3.95E-05,-0.000690036,-0.001181254,-0.002524057,-0.001893192,-0.001578532,-0.002564406,-0.00195619,-0.002054037,-0.001344299,-0.002450012,-0.001897233,-0.001147061,-3.96E-05,0.000316656,0.000483015,0.001584535,0.001980041,0.001682968,0.001662445,0.001424501,0.001891556,0.000949217,0.000553316,0.00065229,0.000335889,0.000316106,0.000947942,0.001817607,0.001392005,0.002054362,0.001955401,0.001975036,0.000157841,0.000197208,0.00010887,-0.00039426,-0.000591389,-0.000709611,-0.000157816,-0.000512639,-7.89E-05,0.001025479,0.000986232,-0.000157394,0.002125148,-0.003455859,0.000472925
1/5/11,0.002052759,0.002826186,0.002412455,0.00157766,0.000788706,0.001025803,-0.000472925,-0.00122052,-0.000393887,0.000315035,0.001142722,0.000788271,0.001104014,0.001970987,0.00122153,0.000866074,0.00204668,0.002914304,0.003544703,0.003068691,0.002872998,0.002045312,0.000589183,0.000627503,0.000117739,0.000549106,0.000313947,0.000824305,0.001020649,0.001138844,0.001255739,0.000289298,0.000823852,0.00058752,0.000627451,-0.000117596,-0.000666275,-0.000524349,-0.000431187,-0.000861556,-0.000862204,-0.000156814,-7.84E-05,0.000235257,0.000431373,0.00109847,0.000784498,0.000627353,0.00086288,0.000392003,0.000274391,0.000548632,7.84E-05,-0.000862069,-0.000862137,-0.001175549,-0.00078376,-0.001096663,-0.000548675,0.000705938,0.000784437,0.001569243,0.001098125,0.001489962,0.000705827,-7.84E-05,0.000472925,-0.002836209,0.001264123,0.00047033
1/6/11,-0.000704491,-0.000156838,-0.000627156,-0.001057414,7.83E-05,0.001490313,0.00172522,0.002509804,0.002000314,0.000972282,-0.001096577,-0.001409774,-0.004227337,-0.005867626,-0.00442322,-0.003282181,-0.002038736,-0.001568627,0.000943396,0.001101755,0.000235905,0.000707325,0.000227862,-0.000392773,-0.000942507,-0.000589576,-7.86E-05,-0.001178041,-0.000777697,-0.000314342,-7.86E-05,0.000511268,0.001100715,0.001218745,0.001139937,0.001021932,0.000157245,0.000157233,-0.001178041,-0.00090313,-0.001217166,-0.001177949,0,0.000314416,0.000890077,0.001021852,0.001808318,0.002515921,0.002279695,0.001728744,0.001113964,0.00062819,-7.85E-05,-0.000548977,-0.000980392,-0.000627549,-0.00145172,-0.001961077,-0.001412762,-0.001647834,-0.000824338,-0.000706436,0.000943026,0.000549614,-0.000471587,-0.000157196,0.00047033,0.000195879,-0.001292546,0.001414983
1/7/11,-0.002195141,-0.001724543,0.000156838,0.002278441,0.002397139,0.002200393,0.002357055,0.001099333,-0.001873922,-0.002038097,-0.003528305,-0.002666039,-0.004074596,-0.004314064,-0.001578935,-0.00176734,-0.001959241,-0.002751789,-0.002753737,-0.001654325,-0.002084972,-0.001455719,0.00038631,0.000236518,0.000710059,0.001065257,-0.000512477,-0.000660362,-0.000944913,-0.002285804,-0.003152791,-0.002689473,-0.00260314,-0.003557905,-0.004181585,-0.000632011,0.000157387,-0.000231577,0.000158178,0.002651051,0.003485425,0.000988142,0.002055986,0.00233607,0.002293215,0.00047356,-0.000176823,-7.90E-05,-7.89E-05,-0.001104188,-0.000157791,-0.000118334,0.001203244,0.001540102,7.89E-05,0.001579155,0.001183619,0.001380725,0.00126173,0.000552007,0.001144255,0.000709499,0,0.001024267,0.000945105,0.000709332,0.001414983,0.001386294,-0.002481841,0.001181381
1/10/11,-0.00086984,-0.000839658,-0.001814882,-0.002486286,0.000553535,0.002772277,0.003165809,0.00218558,0.001541502,0.003085931,0.000790326,-0.000394945,-0.001979487,-0.001499408,-0.001696989,-0.001972075,-0.001184553,0.000474121,0.000244271,0.000710896,0.00142315,0.001343661,0.002213789,0.001500671,0.002529044,0.002291584,0.000513185,-0.000236798,0,0.000157729,-0.000264091,0,0.00114421,0.001657982,0.000474124,-0.000236556,0.000185307,0.000473037,0.000480807,-0.000236463,0.000302791,0.001025317,0.000867234,0.000157604,0.000228471,0.001103753,0.000681862,-7.88E-05,-0.00133911,-0.000867476,-0.000944392,-0.001338794,-0.000354484,0.000157592,0.001104275,0.001065374,0.000669347,0.00082801,0.000551615,0.000709052,0.000236369,0.000748356,0.000984834,0.000891148,0.001151453,0.000866005,0.001181381,-0.004247955,-0.002607047,-0.001179895
1/11/11,-0.002193842,-0.000548977,-0.000695128,0.000117772,-0.000157011,0.001217788,7.85E-05,-0.000313873,0.000392557,0.000314806,0.001405465,0.000823949,0.002434045,0.002433281,0.002197457,0.001552345,0.000831118,0.001019288,-0.000156654,-0.001252838,-0.000783085,1.57E-06,-0.00035254,-0.000469962,-0.000783392,3.92E-05,0.00023511,1.49E-05,0.000117555,7.84E-05,0.000854567,0.001136765,-7.84E-05,0.000156715,0.000352623,0.000548503,0.000242834,-0.001566171,-0.00253722,-0.00235036,-0.001958327,-0.002192811,-0.001957867,-0.000862745,0.000344079,-0.00015706,-0.000784868,-0.002119143,-0.00274639,-0.002276474,-0.001414324,-0.000981778,-0.001256775,0.001258455,0.001416319,0.001376869,0.001101762,0.000432407,0.000157295,-7.86E-05,0.000157146,0.000903555,0.000314218,0.000785855,0.001100889,0.000234897,-0.001179895,0.004016381,-0.001647188,0.000864751
1/12/11,-0.0004978,-0.000234119,0.001249805,0.00163933,0.001014595,0.001483216,0.001405152,0.001248927,0.00132626,0.000311891,0.000624513,0.001052303,0.001091363,0.002260856,0.002259447,0.002533323,0.002258842,0.001051197,0.001245912,0,-0.000388682,-0.000116627,-0.000155485,0,0,0.000156347,0.000466599,0.000155521,0.000544281,0.001050093,0.000388863,0.000154767,-0.000544112,0,-0.000854834,-0.001437507,-0.000388712,-0.001010886,-0.000622181,-0.000544239,-0.000155557,0.00031126,-0.000233318,0.000622713,0.000583658,7.78E-05,0.000350058,0.000466744,-0.000233372,-0.000155581,-0.000427766,-0.000311139,-0.000346048,-0.000311018,0.000544662,0.000233409,8.56E-05,-7.78E-05,-0.000276156,-0.000155557,-0.000544366,-0.000777847,-0.001330418,-0.001245039,-0.001050461,-0.001672501,0.000864751,0.006277957,-0.001013803,0.002064908
