"date","r_daily"
2008-04-04,0.000730620296631734
2008-04-07,-0.00666811625715724
2008-04-08,0.00176185582146537
2008-04-09,-0.00914812646370022
2008-04-10,0.00332127832312334
2008-04-11,-0.00840711256602933
2008-04-14,-0.00217881292261457
2008-04-15,-0.000748502994011968
2008-04-16,0.0117349970291147
2008-04-17,0.00308687343818903
2008-04-18,0.000576161325171132
2008-04-21,0.0039785879629628
2008-04-22,-0.0035460992907802
2008-04-23,-0.000507099391480637
2008-04-24,0.00448852530225152
2008-04-25,0.00222301900322708
2008-04-28,-0.00171600171600184
2008-04-29,-0.00243884943691275
2008-04-30,-0.0068871511586196
2008-05-01,0.0180583646344987
2008-05-02,-0.00583808117042961
2008-05-05,-0.00233976176971062
2008-05-06,0.012853470437018
2008-05-07,-0.0179792709581894
2008-05-08,0.000286123032904095
