intercept,r13_lag,r_on,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12
-0.06201688,-4.357886721,5.243071453,-0.825878744,1.802379579,2.928906168,-0.284263007,1.924437771,0.51902178,-2.358994454,-0.358338086,-0.182496031,1.958156536,0.463126081,3.616208273
-0.050442107,-4.347750942,5.244819782,-0.841166782,1.792581739,2.933736902,-0.271613226,1.9161166,0.516643164,-2.36263041,-0.363816474,-0.197886835,1.960800435,0.469121064,3.632682125
-0.026275773,-4.349950478,5.253785097,-0.838192156,1.78457949,2.934441554,-0.280478633,1.913956623,0.519832864,-2.352677452,-0.356493827,-0.197313087,1.965101679,0.461733954,3.635672771
-0.025123821,-4.367080096,5.243266909,-0.900549573,1.800124314,2.936127086,-0.261609254,1.917987751,0.531642874,-2.329052931,-0.33804312,-0.200470657,1.975622956,0.459825979,3.628250068
-0.042973605,-4.385987509,5.243369615,-0.893926723,1.847879792,2.932741385,-0.220278558,1.911756946,0.520660946,-2.318322431,-0.320947515,-0.208316086,1.958485971,0.473204472,3.623899714
-0.049281087,-4.388799401,5.246113613,-0.892257878,1.851753074,2.93353087,-0.222416162,1.912297511,0.522704307,-2.317511323,-0.317380437,-0.211925078,1.956714904,0.472736027,3.625812931
-0.067233418,-4.388453772,5.240351645,-0.90006034,1.852088477,2.923696604,-0.219248743,1.90967125,0.525112041,-2.326131413,-0.315242923,-0.21362379,1.956197794,0.464641451,3.623194065
-0.090205968,-4.393327723,5.227009356,-0.926177457,1.856580278,2.907883987,-0.228942132,1.921112962,0.525093358,-2.312039968,-0.307003536,-0.200085883,1.974868902,0.460926702,3.614413259
-0.055634024,-4.392371245,5.231022253,-0.920702982,1.860549873,2.910379419,-0.218733583,1.911812601,0.532869562,-2.305758934,-0.312623646,-0.192246225,1.973157233,0.466182439,3.613728225
-0.081459293,-4.395892531,5.222453861,-0.924075062,1.85754562,2.907024934,-0.230855231,1.910864918,0.530231257,-2.303122315,-0.300403859,-0.194070198,1.978573744,0.467445677,3.612028082
