intercept,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r_on,r13_lag,R2,adjR2
-0.000107314,-0.097174276,0.182583493,0.317118403,0.084460213,0.088981074,-0.045158523,-0.202670992,0.042713929,0.01378636,0.164875142,0.107707146,0.200425795,0.173680794,-0.224144402,0.253542253,0.223251215
-0.000119005,-0.098145439,0.183045454,0.31604267,0.080259665,0.090668002,-0.043132618,-0.203202235,0.0445243,0.014551582,0.166233579,0.107782006,0.19968159,0.173676986,-0.2245905,0.253825023,0.223545459
-7.73E-05,-0.100204834,0.182093227,0.321276747,0.078298365,0.102118722,-0.029918374,-0.210095064,0.039067267,0.018452931,0.163305199,0.099389051,0.210316171,0.171202642,-0.220600749,0.254866811,0.224629523
-7.12E-05,-0.098649462,0.183436444,0.323023129,0.087604173,0.104900881,-0.034958236,-0.203952425,0.03547247,0.016489603,0.166066742,0.100464303,0.211886719,0.171521718,-0.225420547,0.256688874,0.226525524
-7.26E-05,-0.099554925,0.183942665,0.323170466,0.088049456,0.104128635,-0.035458684,-0.203271596,0.035217078,0.017149997,0.166468869,0.100634566,0.211811274,0.171051351,-0.225891798,0.256964509,0.226812344
-7.34E-05,-0.098706098,0.183952613,0.323265585,0.08544362,0.104958469,-0.034804738,-0.203447316,0.03612827,0.01779905,0.166386015,0.099942568,0.212168872,0.171184803,-0.225426538,0.256946891,0.226794011
-9.62E-05,-0.09953149,0.185319033,0.327714422,0.08815899,0.099467944,-0.036123443,-0.203867777,0.02948466,0.023424383,0.166779075,0.105179775,0.213626464,0.172605023,-0.226318195,0.259190208,0.229128362
-6.78E-05,-0.097251516,0.184600062,0.321021971,0.075459267,0.103979775,-0.029767954,-0.217692916,0.025929633,0.025598393,0.177542828,0.11012689,0.209000728,0.171434104,-0.226225031,0.258530075,0.22844144
-6.46E-05,-0.096799309,0.185928059,0.321788889,0.075344136,0.103968321,-0.029719906,-0.215486968,0.025456357,0.026537453,0.178294179,0.111073021,0.209216734,0.171722993,-0.227115652,0.258795599,0.228717739
-8.43E-05,-0.094976749,0.185806752,0.316940788,0.075969999,0.108651312,-0.030157046,-0.226986782,0.014924586,0.022919927,0.174969187,0.111246919,0.206947306,0.17115568,-0.225614563,0.25795993,0.227848159
-0.000121968,-0.074913629,0.187524507,0.325809172,0.04033109,0.118096458,-0.012836284,-0.243890001,0.028187482,-0.026715744,0.191707722,0.098449953,0.191778143,0.17769681,-0.222064143,0.256363394,0.226186836
-0.000144942,-0.077193448,0.183473692,0.325583134,0.046496273,0.119806436,-0.004800224,-0.246033101,0.029893033,-0.029182571,0.190710299,0.105996792,0.19357283,0.175809502,-0.215773647,0.25501891,0.224787793
-0.000142994,-0.076710954,0.185491209,0.324927793,0.046574336,0.1233547,-0.004929314,-0.248106071,0.029419604,-0.027557515,0.188523516,0.107063613,0.191508604,0.174969596,-0.216165284,0.255062732,0.224833394
-0.000130653,-0.077045298,0.185047283,0.324801307,0.044756956,0.121292672,-0.004173678,-0.250246269,0.028215077,-0.025417231,0.190714734,0.108747956,0.191701018,0.17436152,-0.216639638,0.255690505,0.225486641
-0.000134592,-0.075963126,0.185016348,0.328263352,0.051078794,0.124546724,-0.014120298,-0.244589847,0.029905998,-0.027187677,0.1860126,0.106082905,0.196056811,0.173626438,-0.216199869,0.255370025,0.225153156
-0.000205875,-0.065405117,0.18348981,0.302421371,0.003211672,0.13336918,0.007091525,-0.234544373,0.043003453,-0.034329869,0.171017195,0.077968796,0.188219066,0.167485002,-0.209141168,0.235987848,0.204984456
-0.000195416,-0.065457263,0.182828504,0.301493403,0.001224175,0.133556357,0.007589899,-0.235598626,0.045657257,-0.036298557,0.170117329,0.076829752,0.18809336,0.166693203,-0.210114215,0.23612645,0.205128682
-8.41E-05,-0.038409643,0.17179266,0.255211006,0.011836228,0.141244798,0.006468394,-0.274434022,-0.000121576,-0.0408794,0.17076027,0.044829098,0.180754792,0.174944961,-0.204927218,0.224104346,0.192618725
-6.16E-05,-0.025067855,0.177059216,0.245352118,0.015935087,0.143340985,0.013133966,-0.293657515,-0.018380372,-0.039094886,0.167676578,0.041568475,0.177247798,0.176561156,-0.194928154,0.221726962,0.190144868
