intercept,r13_lag,r_on,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,date,year
1.38305826619343e-05,-0.171033870945128,0.105555101041235,-0.0276402603375826,0.100758290298777,0.139772581438399,0.0203745187838765,0.124695430765595,0.0390229512828013,-0.184336145710885,-0.0361768320310708,0.00961824452668501,0.076512078292091,0.00738900692832923,0.163653746934693,2014-12-08,2014
1.58210985982694e-05,-0.171068942325182,0.105254317311699,-0.027555416606751,0.100150590953149,0.140331037905974,0.0208509793320181,0.12450220183742,0.0393219220190098,-0.183178677821718,-0.0355196127338842,0.00973888474088645,0.0767038954852184,0.00713252469851382,0.163857383527589,2014-12-09,2014
1.41721918184144e-05,-0.171298983305763,0.105356160636282,-0.0274342678227244,0.100444286664696,0.140065808482792,0.0216636777269216,0.123980037654479,0.0400175003885587,-0.183454114955946,-0.0361720688843303,0.0113139409096294,0.076995217263259,0.00792320256410904,0.163332495248774,2014-12-10,2014
1.09497756124893e-05,-0.170887801304483,0.104947421393334,-0.029040086620085,0.0997294828672259,0.140184434556718,0.0212384423199202,0.123346983551514,0.0409324871944828,-0.183382252086484,-0.0347520241623382,0.0116487509370483,0.0778531480198294,0.0093806198594357,0.162564623035863,2014-12-11,2014
8.18833601395323e-06,-0.170568745563221,0.105287122115931,-0.0300222210826636,0.100406120338036,0.141500163114161,0.0222062896131188,0.123240386470574,0.0389368254687547,-0.182719851847256,-0.0362491682690622,0.0118787053419228,0.0788076527592985,0.00947248053707716,0.163120395313573,2014-12-12,2014
7.40272691822311e-06,-0.170385087160134,0.105184165672557,-0.0300706105994426,0.100711953047965,0.141595440944444,0.0230951354523851,0.123592558553426,0.0381398898403481,-0.183043043672106,-0.03586278086814,0.0118221539625768,0.0784021074423327,0.00972055946489082,0.163155799155191,2014-12-15,2014
2.77940966828662e-06,-0.169811232400485,0.105460417592404,-0.0307427408799624,0.0988369044645221,0.140525614430751,0.0175891025711504,0.126157167014133,0.0389092277795606,-0.179802770116678,-0.0315799249188262,0.0103749987785776,0.0782997869378573,0.0106080826247918,0.164036862907172,2014-12-16,2014
1.93439009614303e-06,-0.169536967976724,0.105406751311512,-0.0310530030593819,0.0990434332997148,0.140284376668692,0.0173238366976984,0.125506191420392,0.0395896810385252,-0.180055523284075,-0.0316221956863151,0.010077107339064,0.0778369360740511,0.0111081193944084,0.163686269566129,2014-12-17,2014
4.0366571846575e-06,-0.169218893474377,0.106000413647133,-0.0306645765602029,0.0988778449575412,0.139838310595538,0.0168916995583059,0.126553665888579,0.0396611871960207,-0.178858301293105,-0.031579883205302,0.0101522366588515,0.0772325698919089,0.0114587535711567,0.163964864608085,2014-12-18,2014
3.22815275469862e-06,-0.169418670202794,0.106039176805899,-0.0306142627620552,0.0988060917309733,0.139927577958471,0.0168977377307919,0.126694104594573,0.03982832428469,-0.178992658608464,-0.0316555476716858,0.0100891330043246,0.0771849102519436,0.0110837679666919,0.163940736178124,2014-12-19,2014
