intercept,r13_lag,r_onfh,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,date,year
1.79257917165501e-06,-0.159497185531329,0.0824586984617109,0.0964573086336767,0.138525142716438,0.00828314673938305,0.132016652533903,0.0413930465065814,-0.176512017032262,-0.0104532604090066,-0.0202914168912971,0.0652472127023368,-0.0185803138862332,0.168733133480371,2016-05-23,2016
6.43812792454424e-07,-0.15944116925716,0.0822906559526215,0.0961825500203762,0.138376936407678,0.00824056177507972,0.131847065279268,0.0415873155509738,-0.176805475608813,-0.0103085615136042,-0.0202350556490027,0.0652179406091994,-0.0186205879034236,0.168597563566342,2016-05-24,2016
-9.95504206433243e-07,-0.159338895539219,0.0821024874267088,0.0959651120553898,0.138454161285011,0.00856993720443142,0.131692378858208,0.0418165985131548,-0.177218104521879,-0.0108092064811195,-0.0202914490464371,0.0653030996388653,-0.0181966937772483,0.168265363702719,2016-05-25,2016
-1.47149065775693e-06,-0.15925172221089,0.0821162117825003,0.095887527686012,0.138531717911677,0.00844682858899607,0.131722021168201,0.0418604589579941,-0.177225499623124,-0.0108780033181891,-0.0203097317899714,0.0652738140162142,-0.0181703309875857,0.168276666244329,2016-05-26,2016
-1.10744743139581e-06,-0.159264943544021,0.0821248114613038,0.0959032739550099,0.138532926311758,0.00850679254035309,0.131721779416217,0.0418876840355474,-0.177265376078454,-0.0109129356330469,-0.0203671039671465,0.0653191395108259,-0.0181832395880903,0.168276852225603,2016-05-27,2016
-5.84589573890939e-07,-0.159211154516863,0.0821367536847931,0.0959280985724708,0.138438846823829,0.0083861220737184,0.131639486717204,0.0418510932404564,-0.177251875345762,-0.0107728339290314,-0.0204759003250547,0.0651946527395931,-0.018258684422857,0.16835049016231,2016-05-31,2016
-8.21479330867654e-07,-0.159220264884729,0.082152383722135,0.0959002642689263,0.13839273661481,0.00835084058188066,0.131648044876852,0.0417997164290908,-0.177288394869288,-0.0107446804364354,-0.0204815626739842,0.0651506039334016,-0.0182759242505987,0.168339625745541,2016-06-01,2016
-3.64879370725352e-07,-0.159258645946153,0.0821204715461349,0.0959466461865703,0.138455639657701,0.00840496265497999,0.1317305990793,0.041710309788853,-0.17714993625058,-0.010729671085426,-0.0203693057339168,0.0652061919877911,-0.0182712166569658,0.16836456042899,2016-06-02,2016
-8.30343492451992e-07,-0.159291473420683,0.0821660072799606,0.0960700121011391,0.138285377522719,0.00848130501141731,0.131456330467353,0.0417369594182369,-0.176993064027527,-0.0107502183470052,-0.0205054822324631,0.0651601185742251,-0.018342237756001,0.168355385286069,2016-06-03,2016
-1.51229728702837e-06,-0.15923902733354,0.0821229960363585,0.0960813959466452,0.138185328839333,0.00853441443247097,0.131469349583332,0.0418403886213449,-0.176864785646106,-0.0109137376937449,-0.0206162324097122,0.0650163556111732,-0.0182430151819039,0.168374891705174,2016-06-06,2016
-2.23253327007576e-06,-0.159203602991806,0.0821043539079387,0.096011630184896,0.138211718386226,0.0083784671437987,0.131540742453828,0.0417406680708793,-0.176915179361952,-0.0109660823123598,-0.0204930196004426,0.0649685633301716,-0.0181444324266138,0.168415574423795,2016-06-07,2016
-2.32090504828258e-06,-0.159199004853761,0.0820994169132558,0.0960275956155914,0.138213136197089,0.00838597492821616,0.131523402922486,0.0417290569768653,-0.176906354727396,-0.0109506128203861,-0.020503228837484,0.0649532639133188,-0.0181444583028281,0.168420577804479,2016-06-08,2016
