"date","r_onfh"
2007-12-07,0.000397061743100835
2007-12-10,0.00457741807085044
2007-12-11,0.00039465894889168
2007-12-12,0.0182149362477233
2007-12-13,-0.00817913649772051
2007-12-14,-0.00790302056124847
2007-12-17,-0.00659056937083846
2007-12-18,0.00668642724202106
2007-12-19,0.00390892881634897
2007-12-20,0.00274687542919927
2007-12-21,0.00518665119770678
2007-12-26,0.00310412308522845
2007-12-27,-0.00575404790579426
2007-12-28,0.00569414316702832
2007-12-31,-0.0048119281599458
2008-01-02,0.00204890042343941
2008-01-03,0.00172950536146654
2008-01-04,-0.0103834971618441
2008-01-07,0.00539274817285174
2008-01-08,0.00636222253640617
2008-01-09,0.0037461278005908
2008-01-10,-0.00568262537292241
2008-01-11,-0.00782792665726384
2008-01-14,0.00457110206413835
2008-01-15,-0.0113106178424996
2008-01-16,-0.00362450163102579
2008-01-17,0.0031352533722202
2008-01-18,0.0037529085040906
2008-01-22,-0.0298890482300551
2008-01-23,-0.0136620363303314
2008-01-24,0.00575442792018532
2008-01-25,0.00800000000000001
2008-01-28,-0.000751992780869237
2008-01-29,-0.000591191250369327
2008-01-30,-0.00227823914161829
2008-01-31,-0.00694444444444464
2008-02-01,0.00888371076967887
2008-02-04,-0.00573682323413394
2008-02-05,-0.0141304347826086
2008-02-06,0.00149588631264042
2008-02-07,-0.00572634116937909
2008-02-08,0.000373747944386382
2008-02-11,-0.00420673076923084
2008-02-12,0.00911059666940472
2008-02-13,0.00637320290499499
2008-02-14,-0.00182868846463313
2008-02-15,-0.00651803570105913
2008-02-19,0.00858877535909963
2008-02-20,-0.00666469194312802
2008-02-21,0.00411431930056549
2008-02-22,-7.43604997024416e-05
2008-02-25,-0.00530816868180473
2008-02-26,-0.00305877212147709
2008-02-27,-0.00245753523671854
2008-02-28,-0.00521285838401386
2008-02-29,-0.0134316373457917
2008-03-03,-0.00472866471515421
2008-03-04,-0.00472228468630531
2008-03-05,0.0057177249473368
2008-03-06,-0.00807778608825716
2008-03-07,0.00221678642409429
2008-03-10,-0.00069385552386092
2008-03-11,0.0179884248396684
2008-03-12,7.55344059220064e-05
2008-03-13,-0.0164496230294722
2008-03-14,-0.0188750758035171
2008-03-17,-0.0145454545454545
2008-03-18,0.0225957779515245
2008-03-19,0.00330033003300323
2008-03-20,-0.00222460877569819
2008-03-24,0.0115271604008136
2008-03-25,-0.0034874230169919
2008-03-26,-0.00673824509440968
2008-03-27,0.00171859822162435
2008-03-28,0.00339750849377141
2008-03-31,0.00372907153729063
2008-04-01,0.0158405335758678
2008-04-02,-0.00226591623419348
2008-04-03,-0.00300036589828023
